input,time
10000,2511807
20000,2540982
30000,2580921
40000,2515342
50000,2545412
60000,2536137
70000,2566396
80000,2554431
90000,2565042
100000,2561591
110000,2546366
120000,2596431
130000,2572755
140000,2571273
150000,2524983
160000,2554651
170000,2540981
180000,2506342
190000,2526538
200000,2597795
