input,time
10000,5546
20000,4050
30000,4088
40000,4067
50000,5316
60000,4364
70000,3773
80000,2786
90000,4041
100000,4135
110000,3436
120000,3636
130000,3166
140000,3667
150000,4377
160000,3735
170000,3961
180000,3652
190000,3673
200000,3596

